County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Henrico County ,51087,390,38,607,76,468,38,643,74,487,38,695,76,366,9,554,71,469,18,686,75,414,41,578,67,492,14,655,78,450,26,624,91,631,26,891,124,585,36,786,100,326,24,715,70,321,16,805,136
Henry County ,51089,140,10,477,41,97,7,387,29,61,-,305,30,62,1,337,22,65,12,331,18,72,19,267,17,149,34,482,41,169,54,670,39,262,70,995,49,181,55,708,59,100,80,382,29,99,94,349,39
Highland County ,51091,4,2,16,4,3,8,23,1,3,3,12,-,1,2,11,-,0,1,12,0,5,5,26,-,3,1,15,1,13,1,47,-,7,3,34,1,6,3,12,-,8,-,14,2,4,1,17,-
Isle of Wight County ,51093,73,39,171,17,72,51,101,19,74,30,171,18,69,36,174,13,60,8,110,8,64,26,106,13,61,16,171,8,72,22,175,17,99,62,228,25,64,52,183,7,62,38,121,6,64,71,186,12
James City County ,51095,223,2,291,17,149,16,270,19,148,19,311,8,111,50,295,11,102,73,247,14,87,112,250,10,69,75,258,15,85,127,208,20,150,137,363,20,77,102,237,18,73,101,172,24,82,90,171,17
King and Queen County ,51097,16,2,44,2,20,2,32,5,10,2,49,8,8,7,47,6,13,-,41,4,24,10,71,2,27,5,48,5,31,11,77,5,45,14,77,5,16,6,55,5,12,8,52,1,15,11,62,5
King George County ,51099,28,4,75,12,58,3,114,20,55,11,102,24,56,17,105,10,71,9,49,15,45,6,92,10,44,5,107,16,69,9,91,10,108,6,239,16,86,24,137,19,68,26,102,7,52,6,134,10
King William County ,51101,24,5,23,8,39,16,38,10,42,38,74,8,69,16,54,14,60,12,59,13,29,16,18,17,34,6,16,7,21,2,24,5,29,4,32,11,13,0,22,0,11,3,16,1,7,16,26,4
Lancaster County ,51103,9,3,10,2,12,1,7,3,12,4,12,5,25,1,13,4,32,2,10,3,14,2,21,5,15,3,14,9,13,2,28,17,28,3,25,8,16,9,20,3,15,5,26,8,6,7,22,6
Lee County ,51105,91,0,481,16,110,4,577,17,126,3,496,36,112,15,534,30,132,20,523,42,119,46,691,24,162,44,558,29,212,112,818,21,352,159,1071,35,134,92,544,18,136,71,477,17,118,96,384,18
